,Overall Survival (Months)
ACTL7B,0.07859022961689248
ACTL8,0.0027310320905951186
ACTL9,-0.011926187050141498
ACTN1,-0.076928100445313
ACTN2,0.020501012691031627
ACTN3,-0.027387239145384837
ACTN4,-0.01878309866355643
ACTR10,-0.026971806654318333
ACTR1A,0.06054428995003194
ACTR1B,0.12928675685967211
ACTR2,-0.0977574604626453
ACTR3B,0.014449000090433203
ACTR3C,0.043952209274481735
ACTR3,0.013229672251251833
ACTR6,-0.03300424870799591
ACTR8,0.06500970544947746
ACTRT1,-0.025004347330554417
ACTRT2,-0.026376665939951433
ACVR1B,-0.06233364062929765
ACVR1C,0.019261421649694955
ACVR1,0.02463563156196934
ACVR2A,0.07368664303314591
ACVR2B,0.006951826813490213
ACVRL1,0.015966922123359477
ACY1,0.0174415040864592
ACY3,-0.015273654507459229
ACYP1,0.07608474792035887
ACYP2,0.177755248489891
ADAD1,0.06669839916129973
ADAD2,0.018543713215403722
ADAL,0.013214429081439666
ADAM10,-0.13298528505539225
ADAM11,-0.03598169288084043
ADAM12,-0.09229596784384035
ADAM15,-0.028471557545164936
ADAM17,-0.040375548745416996
ADAM18,0.00680956269774024
ADAM19,-0.09079066121877076
ADAM20,-0.021936721998049764
ADAM21P1,-0.008982282531258462
ADAM21,-0.027691966250387966
ADAM22,-0.03257290226682799
ADAM23,-0.016475627406340745
ADAM28,0.01339706523854804
ADAM29,-0.00844699543355398
ADAM2,-0.019461013879095563
ADAM30,-0.002841161453379057
ADAM32,-0.04789046605459255
ADAM33,-0.0010177683092637956
ADAM3A,-0.013582462516450525
ADAM6,-0.010100334058884204
ADAM7,-0.012924795733667695
ADAM8,-0.055096723221860266
ADAM9,-0.044004837532532246
ADAMDEC1,0.002971249562738485
ADAMTS10,-0.020728389524123737
ADAMTS12,-0.038318175978441775
ADAMTS13,-0.04989340279645579
ADAMTS14,-0.0874536064027243
ADAMTS15,-0.038558667174517045
ADAMTS16,-0.04693923397280481
ADAMTS17,0.017389366286814853
ADAMTS18,-0.03141649341894702
ADAMTS19,0.007475246269759268
ADAMTS1,0.01832655767425806
ADAMTS20,-0.013189126844002244
ADAMTS2,-0.06062115833673391
ADAMTS3,-0.03133804587547426
ADAMTS4,-0.01688844856129222
ADAMTS5,-0.055928470178809926
ADAMTS6,-0.07572909072041645
ADAMTS7,-0.06874636747217705
ADAMTS8,0.03866478619144587
ADAMTS9,-0.07395040287724866
ADAMTSL1,0.012791359360724836
ADAMTSL2,0.009685845503784676
ADAMTSL3,0.03145728035471079
ADAMTSL4,0.006158901935764627
ADAMTSL5,-0.06773155208505743
ADAP1,-0.07646657690550021
ADAP2,-0.03605373412182808
ADARB1,-0.07153053881170712
ADARB2,0.016811697573243425
ADAR,-0.0930870970028081
ADAT1,-0.03385237017543672
ADAT2,-0.01758382044738358
ADAT3,0.04517714769245827
ADA,-0.05542917017504148
ADCK1,0.05642000890904926
ADCK2,-0.0452716237248902
ADCK4,0.010214958155276833
ADCK5,0.06565800952314749
ADCY10,-0.04269530170563353
ADCY1,-0.023720628883939738
ADCY2,0.011543133016784916
ADCY3,-0.04028787077397738
ADCY4,-0.014505581919178497
ADCY5,-0.018504723024954307
ADCY6,-0.05384761013486219
ADCY7,-0.0268174608092452
ADCY8,-0.04355214186397142
ADCY9,0.07394221305241083
ADCYAP1R1,0.04811926541637701
ADCYAP1,-0.023085930049504096
ADD1,-0.018664834780196985
ADD2,-0.004282364217037653
ADD3,-0.05549621050290172
ADH1A,-0.02854502728149905
ADH1B,0.002699311962476766
ADH1C,-0.011546469319489942
ADH4,-0.02832066690075843
ADH5,0.027311190151110675
ADH6,-0.02582131886043839
ADH7,-0.020943882721747784
ADHFE1,0.12916992121885906
ADI1,0.09860080843559377
ADIG,-0.01751146290980709
ADIPOQ,-0.03449896691020334
ADIPOR1,0.028925638504057254
ADIPOR2,-0.10341346325888806
ADK,0.05666338821975724
ADM2,0.021073875955652948
ADM,-0.09489311842388981
ADNP2,-0.03935284583802571
ADNP,-0.03347423903777666
ADORA1,-0.046608775903401456
ADORA2A,-0.022185367811463658
ADORA2B,0.003082931470285746
ADORA3,0.010932239134468016
ADO,-0.03213807597784034
ADPGK,-0.014470402541412035
ADPRHL1,-0.013525601017059014
ADPRHL2,0.16529510198892847
ADPRH,0.03488370393240254
ADRA1A,0.03615407241520626
ADRA1B,-0.05531736944715076
ADRA1D,-0.03293628921632667
ADRA2A,-0.012906793618080723
ADRA2B,0.060505831328056425
ADRA2C,0.03363309533209211
ADRB1,0.057456733007319426
ADRB2,0.027152903510614796
ADRB3,0.022897976280229316
ADRBK1,-0.015538577184064014
ADRBK2,0.02078806323444002
ADRM1,0.09420046271354324
ADSL,0.0023596118548997206
ADSSL1,0.006451186230568213
ADSS,-0.06117687919207
AEBP1,-0.028402215041587603
AEBP2,-0.03505378250220962
AEN,-0.04141144068618941
AES,0.08285560918914704
AFAP1L1,-0.016460836189542492
AFAP1L2,-0.05286152598053554
AFAP1,-0.08404395445749818
AFF1,-0.0746521091691087
AFF2,-0.01942136425759172
AFF3,0.06534307648079424
AFF4,-0.05322168768062509
AFG3L1P,0.025944462249762597
AFG3L2,0.017508611123571816
AFMID,-0.016957779169904763
AFM,-0.03125321695384398
AFP,-0.039401176812013786
AFTPH,-0.006040882196553524
C11ORF96,-0.006221682513445349
AGAP11,-0.00199053139818326
AGAP1,0.015913463650282518
AGAP2,-0.021113151254580822
AGAP3,0.0379697530397185
AGAP4,0.025139021720112203
AGAP5,-0.02903332725661488
AGAP6,0.016602317458345835
AGAP7P,0.021334272651502232
AGA,0.08623774192259136
AGBL1,0.004122669299985355
AGBL2,0.08036852111888784
AGBL3,0.02607960051252588
AGBL4,0.06935592353724784
AGBL5,0.07264605463002444
AGER,0.01211261977668566
AGFG1,-0.07155471127197668
AGFG2,0.021843463877591934
AGGF1,0.013931161112136657
AGK,0.005846946470055739
AGL,-0.07087453697908586
AGMAT,-0.05047906383863186
AGPAT1,-0.04460567535866281
AGPAT2,-0.0016127044744599283
AGPAT3,0.006656195230364288
AGPAT4,-0.010893849618441998
AGPAT5,-0.02277029694108665
AGPAT9,-0.024633747029973813
HYKK,0.0747020216829282
AGPS,-0.06648920879067023
AGR2,-0.02268573716914173
AGR3,0.08362879371258104
AGRP,-0.0074597174632201205
AGTPBP1,-0.0477404459810957
AGTR1,-0.053466906163101194
AGTR2,-0.019869035622406817
AGTRAP,0.029803053181899634
AGT,-0.0177558784613128
ETNPPL,0.0494460952004599
PHYKPL,0.022896802079821543
AGXT2,0.019452615617334242
AGXT,-0.012160608018593578
AHCTF1,-0.06496732536182259
AHCYL1,0.05134096598140786
AHCYL2,-0.011621906072601265
AHCY,0.0016253620451573275
AHDC1,0.008045814004371866
AHI1,0.0013451060497315067
AHNAK2,-0.14662241209574337
AHR,-0.035138915438502234
AHSA1,-0.06321895234883695
AHSA2,-0.02009844009835675
AHSG,-0.0771029703261169
AHSP,-0.0201466485333286
AICDA,0.0239208832846823
AIDA,-0.023143096421298644
AIF1L,-0.03335853702682138
AIF1,0.017355518925365403
AIFM1,0.027365203169210643
AIFM3,-0.007242481493110278
AIG1,0.010986844729649177
AIM1,-0.09648346841011438
AIM2,-0.04659131547208163
AIMP1,0.0022738854894541146
AIMP2,-0.01574129429650786
AIPL1,-0.06275227232303683
AIP,0.08498545876399871
AIRE,-0.029207464382987002
AJAP1,-0.024897128727043298
AK1,0.06731629687377437
AK2,0.1014456542322885
AK4,-0.07623913559646847
AK3,0.019578107324554596
AK5,-0.05051573991609935
AK7,0.09278415182976772
AKAP10,-0.10487810966858703
AKAP11,-0.08294660211205825
AKAP12,-0.06286211723595538
AKAP13,-0.010121555110361969
AKAP14,0.06563887123246392
AKAP1,-0.023402536342239752
AKAP2,-0.04802479644351608
AKAP3,0.021007923108139263
AKAP4,-0.011602110952101338
AKAP5,-0.060312169046661784
AKAP6,0.0068789872040600055
AKAP7,0.036388023345361856
AKAP8L,0.0821816771011589
AKAP8,0.05866097563593989
AKAP9,-0.04773208629382699
AK9,0.07560323134631085
AKIRIN1,-0.009797109564507005
AKIRIN2,0.029567922716292674
AKNAD1,0.05755982173361054
AKNA,0.0002774967559034678
AKR1A1,0.14352928272916993
AKR1B10,-0.06140893123863191
AKR1B15,-0.009836654410386036
AKR1B1,0.00952784573797866
AKR1C1,0.03239700293857212
AKR1C2,0.024819897559547537
AKR1C3,-0.003972516515861682
AKR1C4,-0.0312481010542047
AKR1C8P,-0.014290046235954337
AKR1D1,0.012770871974490526
AKR1E2,0.06226311336991395
AKR7A2,0.07676131915395722
AKR7A3,-0.014438758940536015
AKR7L,-0.00850058297260397
AKT1S1,-0.04009720015979748
AKT1,0.05413796292137852
AKT2,-0.010871790411677396
AKT3,-0.04126841728284953
AKTIP,0.09819125619929968
ALAD,0.05325808512555222
ALAS1,0.03127368593065042
ALAS2,-0.03388779904374143
ALB,-0.04127854775842601
ALCAM,0.07591353321726683
ALDH16A1,-0.015185370932824151
ALDH18A1,-0.014732842086215744
ALDH1A1,-0.030464682135554817
ALDH1A2,0.1259505349846679
ALDH1A3,-0.0597651571046696
ALDH1B1,-0.010369412841147924
ALDH1L1,0.06181917535816907
ALDH1L2,-0.04320727086370579
ALDH2,0.09273469109780197
ALDH3A1,0.04567979628632504
ALDH3A2,0.05839215661421127
ALDH3B1,0.047802609751678465
ALDH3B2,0.14574676455658758
ALDH4A1,0.0956153370840901
ALDH5A1,0.0077983664872303135
ALDH6A1,0.04609738598192659
ALDH7A1,0.09772537079281088
ALDH8A1,-0.03337975926197686
ALDH9A1,0.026253987690159887
ALDOA,0.025837462221383077
ALDOB,-0.03366319043763547
ALDOC,-0.010947882592482805
ALG10,-0.10329429535745785
ALG11,-0.10814993313496567
ALG12,0.04207327043238431
ALG13,-0.0840382228576968
ALG14,0.0354041604459464
ALG1L2,-0.009564846182690545
ALG1L,0.06027600823118401
ALG1,0.11698806988911985
ALG2,0.010480316495157734
ALG3,0.014371608710394631
ALG5,0.0477646193936731
ALG6,0.0022874592162678035
ALG8,-0.05161589184418738
ALG9,0.05322907495188434
ALKBH1,-0.014131931742872916
ALKBH2,-0.033989376348649104
ALKBH3,0.02158113437522144
ALKBH4,0.14219930100522563
ALKBH5,0.04387822178153485
ALKBH6,0.032830063976288945
ALKBH7,0.02791218449828848
ALKBH8,-0.08945104622039574
ALK,0.1875866497849363
ALLC,-0.03674247414496621
ALMS1P,0.10523853011677682
ALMS1,-0.000387473614764719
ALOX12B,-0.04806295352271437
ALOX12P2,0.07723846216487183
ALOX12,0.01460716847262226
ALOX15B,0.008170946664850109
ALOX15,0.0009706225618662756
ALOX5AP,-0.003909088799591759
ALOX5,-0.035853271643673607
ALPI,-0.04907047216420332
ALPK1,0.03863082777738185
ALPK2,0.026567786233718655
ALPK3,0.022056037297065196
ALPL,0.005494039121703118
ALPPL2,-0.033141128278326444
ALPP,0.01848776554154677
ALS2CL,-0.050781755035127364
TMEM237,0.009987509719825677
CARF,-0.02203834729754967
ALX1,-0.02851242247882347
ALX3,0.011064514805548535
ALX4,0.0013561508850053084
SLC35G5,0.030700455651952178
SLC35G6,-0.01750949822740392
SLC35G3,0.004567809304360669
AMACR,0.022746463854046297
AMBN,0.009551889898496223
AMBP,-0.02474506649370874
AMBRA1,0.051892481687450996
AMD1,-0.007885126450646398
AMDHD1,-0.07324278483819051
AMDHD2,0.11821623136751204
AMELX,-0.024746581696054093
AMFR,0.015375937643322592
AMHR2,0.010814898860599704
AMH,-0.05028196913478872
AMIGO1,-0.010418525626387301
AMIGO2,-0.050951539544527004
AMIGO3,0.0950514704596654
AMMECR1L,-0.08583957656415492
AMMECR1,-0.03416072576971981
AMN1,-0.013141576997363645
AMN,0.004065923264288202
AMOTL1,-0.0436908121756013
AMOTL2,-0.013490568736887332
AMOT,-0.021503122277167833
AMPD1,0.014648404497825363
AMPD2,-0.03544519734219553
AMPD3,-0.0008517551915894508
AMPH,-0.030754262799846263
AMTN,-0.026498659691099807
AMT,0.06494164200735843
AMY1A,-0.004021680589005596
AMY2A,-0.0073189322034451915
AMY2B,-0.021393251544359924
AMZ1,-0.03720108644933941
AMZ2P1,0.08401686815607536
AMZ2,-0.0201861754792834
ANAPC10,0.09047709347047203
ANAPC11,0.03879286841610211
ANAPC13,-0.028058671263618263
ANAPC16,0.044738968483309535
ANAPC1,-0.07380628476204504
ANAPC2,0.11209090098097006
ANAPC4,0.10279285312042831
ANAPC5,-0.017428563051168865
ANAPC7,-0.00142797763682083
ANGEL1,-0.02779723559228539
ANGEL2,-0.0028982542055502707
ANGPT1,0.000919310126792055
ANGPT2,0.021728914745273553
ANGPT4,-0.017044147013631158
ANGPTL1,-0.015471993311459728
ANGPTL2,-0.061644292813217004
ANGPTL3,-0.04065535433067099
ANGPTL6,0.04296786747914847
ANGPTL7,0.022399686461782167
ANG,0.057900279029523515
ANK1,-0.054512344064908416
ANK2,0.056940797240594566
ANK3,0.011169730842532932
ANKAR,-0.02103453656245638
ANKDD1A,-0.018346615559583338
ANKFN1,0.024890754553628477
ANKFY1,-0.025152989030776
ANKHD1,0.019082742882969673
ANKH,-0.05306601837963413
ANKIB1,-0.016211340663051643
ANKK1,0.004446519791885345
ANKLE1,0.05579546334852239
ANKLE2,-0.10489230662702148
ANKMY1,0.018328944708609286
ANKMY2,0.007257792846885441
ANKRA2,0.05638209636208244
ANKRD10,-0.00395869279787203
ANKRD11,-0.02662074765605052
ANKRD12,-0.06550940220350031
ANKRD13A,-0.03768421838425463
ANKRD13B,-0.05726020435302885
ANKRD13C,-0.01620407699675262
ANKRD13D,0.03682111373162222
ANKRD16,0.022820148089241443
ANKRD17,-0.0585303502184006
ANKRD19P,0.0909852246334817
ANKRD1,-0.037170061205583034
ANKRD20A3,0.004905895092079198
ANKRD20A4,-0.06297342561183387
ANKRD20A8P,-0.03607955197543503
ANKRD22,-0.019954942586869518
ANKRD23,0.07491429752173837
ANKRD24,-0.027701593571721334
ANKRD26P1,0.007328827098105143
ANKRD26,-0.03635891171037572
ANKRD27,-0.015315783032404478
ANKRD28,-0.0705163640874675
ANKRD29,0.033822613618667854
ANKRD2,-0.00021565573735985181
ANKRD30A,-0.034711246111631726
ANKRD30B,-0.052175072446627044
ANKRD31,-0.035594292384440035
ANKRD32,-0.035224758991018804
ANKRD33,-0.010324005781470942
ANKRD34A,-0.07900371890714841
ANKRD34B,-0.024891781804519293
ANKRD34C,0.06428078110363313
ANKRD35,-0.009902350249439968
ANKRD36BP1,-0.10681281014868196
ANKRD36B,-0.04245791539536335
ANKRD36,0.009385062599626164
ANKRD37,-0.037209359514579265
ANKRD39,0.160715076555091
ANKRD40,-0.028589280382430624
ANKRD42,0.04155604637691638
SOWAHA,0.011232598520766303
ANKRD44,-0.052485479234181814
ANKRD45,0.10621041937400647
ANKRD46,-0.020308685809625134
ANKRD49,0.0036784154867207787
ANKRD50,-0.09177667328462935
ANKRD52,-0.05587896369829498
ANKRD53,0.042378056099942926
ANKRD54,0.09124131578875273
ANKRD55,-0.024248075981865114
SOWAHB,-0.056677655066812334
SOWAHC,-0.07701271054979217
SOWAHD,0.05327384620409184
ANKEF1,-0.026843227339310625
ANKRD6,0.026689120118680014
ANKRD7,0.0336560508270849
ANKRD9,0.03800800152750961
ANKS1A,-0.007335987074398336
ANKS1B,-0.021808614952536443
ANKS3,0.07971243669340555
ANKS4B,-0.06853566758415325
ANKS6,-0.09441887407738662
ANKZF1,0.023128699554563533
ANLN,-0.10798785169541623
ANO10,0.020737182583957972
ANO1,-0.08496068002413187
ANO2,0.011383329342518319
ANO3,-0.05827671513308475
ANO4,-0.059229500115877784
ANO5,-0.06681753807999655
ANO6,-0.10515548126127532
ANO7,-0.08041815587544926
ANO8,0.0759307289741917
ANO9,0.015454947202610366
ANP32A,-0.022835547851254627
